gate_id,requirement,observed,state
E01,Canonical RUN02 ZIP and external sidecar,8f59624885d9525719739a8e25b057870790745de5f7c780e3ba55b3297fb2e5,PASS
E02,Recursive Phase 0–6 result chain,10 unique ZIPs; all CRC/manifest/sidecar checks pass,PASS
E03,Frozen 12-component contract aggregate,999385ea235041e21be0b7394f65716a16672726f0e431c6afcbf3390faba899,PASS
E04,P02 alias recognized in selected .dat headers,44/44 exact af header token,PASS
E05,Frozen config structures captured,44/44; UTF-8 and configparser PASS,PASS
E06,Common declared P02 support,af-min=0; af-max=0; fix-af=0; DEFAULT inheritance=0,BLOCKING_UNRESOLVED
E07,RUN01 equality-record correction,22/22 true -> NOT_EVALUATED,PASS
E08,Numerical payload remains sealed,P02 rows=0; M01=0; raw retained=0,PASS_STOPPED
E09,No automatic continuation,RUN03 started=0; Phase 7 started=0,PASS_STOPPED
E10,Final branch adjudication,COMPLETE_STOPPED / HOLD_PRIMARY_SCHEMA_UNRESOLVED,FINAL_CLOSED
