path,role,description
canonical/GWBHSIFA_LINEAGE_CLOSURE_v1.0.8_RESULTS_FOR_REVIEW.zip,CANONICAL,Final scientific closure result; recursively contains v1.0.7 and L07 adjudication and prior provenance.
foundation/GWBHSIFA_FOUNDATION_REBUILD_PHASE0-3_v1.0.1_COMPLETE_STOPPED.zip,FOUNDATION,Complete stopped Foundation package; preserved unchanged.
foundation/GWBHSIFA_FOUNDATION_REBUILD_RESULT_REVIEW_v1.0.1_JA.md,REVIEW,Independent Foundation review.
historical_reviews/GWBHSIFA_LINEAGE_CLOSURE_v1.0.4_EXTERNAL_REVIEW_JA.md,HISTORICAL_REVIEW,Documents v1.0.4 DCC semantic-page defect; not current state.
historical_reviews/GWBHSIFA_LINEAGE_CLOSURE_v1.0.6_EXTERNAL_REVIEW_JA.md,HISTORICAL_REVIEW,Documents v1.0.6 auth/private subclassification defect; not current state.
final_state/LINEAGE_CLOSURE_REPORT.json,CONVENIENCE_EXTRACT,Exact copy from canonical v1.0.8 result.
final_state/LINEAGE_CLOSURE_REQUIREMENT_MATRIX.csv,CONVENIENCE_EXTRACT,Exact final L01–L10 matrix from canonical result.
provenance/RUN_REGISTER.csv,MASTER_INDEX,Human-readable history and status register.
provenance/NESTED_ARCHIVE_CHAIN.csv,MASTER_INDEX,Recursive ZIP chain and checksums.
documentation/CLAIM_BOUNDARY.md,MASTER_DOC,Supported / unsupported claim boundary.
documentation/RESULT_TO_NEXT_BRANCH_MAP.md,MASTER_DOC,Downstream handoff rules.
