run,phase,authoritative_file,bytes,sha256,zip_integrity,verdict,report_member
RUN01,technical feasibility,GWBHPIA_FEASIBILITY_PILOT_v0.1.0_RUN01_RESULTS_FOR_REVIEW.zip,275499,f09a482c0af1a5fb28f32e73b606083afe30c39c17da2111a30615d9f71fad69,PASS,GO,
RUN02,release lineage and file identity,GWBHPIA_RELEASE_LINEAGE_AUDIT_v0.2.0_RUN02_RESULTS_FOR_REVIEW.zip,664095,163f758ef8e382a22c3281fa19a962cd1bc4cd583933ca10999ea114d8563d67,PASS,GO_REFRAME,
RUN03,summary-table release drift,GWBHPIA_SUMMARY_TABLE_DRIFT_AUDIT_v0.3.1_CORRECTED_RESULTS_FOR_REVIEW.zip,3005247,1187aed5d3bd262966924efea9532d15734b212f7cbc2646dc73c9f65262d935,PASS,PASS_WITH_IMPLEMENTATION_CORRECTION,
RUN04,posterior schema,GWBHPIA_POSTERIOR_SCHEMA_PILOT_v0.4.1_CORRECTED_RESULTS_FOR_REVIEW.zip,3148538,497ece29b4ad022cde3ec50c8087d33e482f5fa1e0be84f52d2637e1460046fd,PASS,PASS_SCHEMA_READY,GWBHPIA_POSTERIOR_SCHEMA_PILOT_v0.4.1_CORRECTED_PACKAGE/outputs/RUN04_REPORT.json
RUN05,posterior release-drift pilot,GWBHPIA_POSTERIOR_DISTRIBUTION_DRIFT_PILOT_v0.5.0_RUN05_RESULTS_FOR_REVIEW.zip,3231233,c62fe2e965a712b462446f17ad45c9c7db6b6cb95754bd71101f1cb2f316d74a,PASS,PASS_DISTRIBUTION_DRIFT_MEASURED,GWBHPIA_POSTERIOR_DISTRIBUTION_DRIFT_PILOT_v0.5.0_STARTER_PACKAGE/outputs/RUN05_REPORT.json
RUN06,robustness calibration,GWBHPIA_POSTERIOR_ROBUSTNESS_CALIBRATION_v0.6.0_RUN06_RESULTS_FOR_REVIEW.zip,3322518,523859b7be6584e43f039790dd46c6cc4c20db36786c7c44fb4f9da48dcef52b,PASS,PASS_ROBUSTNESS_CALIBRATED,GWBHPIA_POSTERIOR_ROBUSTNESS_CALIBRATION_v0.6.0_STARTER_PACKAGE/outputs/RUN06_REPORT.json
RUN07,posterior cohort expansion A,GWBHPIA_POSTERIOR_COHORT_EXPANSION_BATCH_A_v0.7.0_RUN07_RESULTS_FOR_REVIEW.zip,3442188,56db4330e1a04a5251bff42d4813bf93ac41c38f308bcf3c0e33d719fa468a46,PASS,PASS_BATCH_A_COMPLETE,GWBHPIA_POSTERIOR_COHORT_EXPANSION_BATCH_A_v0.7.0_STARTER_PACKAGE/outputs/RUN07_REPORT.json
RUN08,posterior cohort expansion B,GWBHPIA_POSTERIOR_COHORT_EXPANSION_BATCH_B_v0.8.0_RUN08_RESULTS_FOR_REVIEW.zip,3527246,446bc0ff2f528f4f657506eacb13dc867e7de4508b76f4159f9960b2d77f9f6e,PASS,PASS_BATCH_B_COMPLETE,GWBHPIA_POSTERIOR_COHORT_EXPANSION_BATCH_B_v0.8.0_STARTER_PACKAGE/outputs/RUN08_REPORT.json
RUN09,release-drift frozen holdout batch 1,GWBHPIA_STRATIFIED_HOLDOUT_BATCH_1_v0.9.0_RUN09_RESULTS_FOR_REVIEW.zip,97757,97e8f19415bfb816a0d00a33046fd042bf2bd1da9d48f06c8483acfd79df7295,PASS,PASS_HOLDOUT_BATCH_1_COMPLETE,GWBHPIA_STRATIFIED_HOLDOUT_BATCH_1_v0.9.0_STARTER_PACKAGE/outputs/RUN09_REPORT.json
RUN10,release-drift frozen holdout batch 2,GWBHPIA_STRATIFIED_HOLDOUT_BATCH_2_v0.10.0_RUN10_RESULTS_FOR_REVIEW.zip,132702,a61080fee55c687d9d220d3c061248dab3c130bf438019012b2f0734b0a9579f,PASS,PASS_HOLDOUT_BATCH_2_COMPLETE,GWBHPIA_STRATIFIED_HOLDOUT_BATCH_2_v0.10.0_STARTER_PACKAGE/outputs/RUN10_REPORT.json
RUN11,release-drift frozen holdout batch 3,GWBHPIA_STRATIFIED_HOLDOUT_BATCH_3_v0.11.0_RUN11_RESULTS_FOR_REVIEW.zip,108025,4971b5ddcdfd209320333c8fa2d46bccff343caf66d2549ae5c8ab7798d6fea1,PASS,PASS_HOLDOUT_BATCH_3_COMPLETE,GWBHPIA_STRATIFIED_HOLDOUT_BATCH_3_v0.11.0_STARTER_PACKAGE/outputs/RUN11_REPORT.json
