edge_id,source,target,relation,phase2_class,final_class,attribution_status,shared_event_count_phase2,shared_release_count_phase2,explicit_cross_reference_phase2,supporting_evidence_file_count,adjudication_rule,edge_upgrade
E01,B06,B05,strain_DQ_calibration_to_detection_catalog_surface,PARTIAL_STRUCTURAL,PARTIAL_STRUCTURAL,UNRESOLVED_ATTRIBUTION,0,3,TRUE,18,B06/B05 closure+identity evidence; no common event anchor observed in Phase2.,FALSE
E02,B06,B01,strain_DQ_calibration_to_event_PE,PARTIAL_STRUCTURAL,PARTIAL_STRUCTURAL,UNRESOLVED_ATTRIBUTION,0,1,TRUE,17,B06/B01 closure+identity evidence; no common event anchor observed in Phase2.,FALSE
E03,B05,B01,catalog_event_identity_to_event_PE,PARTIAL_STRUCTURAL,PARTIAL_STRUCTURAL,UNRESOLVED_ATTRIBUTION,0,0,TRUE,15,B05/B01 explicit cross-reference but no common event/release anchor observed by bounded scanner.,FALSE
E04,B01,B02,event_PE_to_population_inference,PARTIAL_STRUCTURAL,PARTIAL_STRUCTURAL,UNRESOLVED_ATTRIBUTION,7,0,FALSE,9,"B01/B02 shared events exist, but exact release/PE lineage common frame was not established.",FALSE
E05,B03,B02,selection_function_to_population_inference,BLOCKED_PUBLIC_ASSET,BLOCKED_PUBLIC_ASSET,NOT_EVALUABLE_PUBLIC_ASSET,0,1,TRUE,13,B03 historical NO_GO_PUBLIC_ASSETS_INSUFFICIENT is immutable.,FALSE
E06,B05,B03,detection_catalog_surface_to_selection_audit,BLOCKED_PUBLIC_ASSET,BLOCKED_PUBLIC_ASSET,NOT_EVALUABLE_PUBLIC_ASSET,0,0,TRUE,19,B03 historical NO_GO_PUBLIC_ASSETS_INSUFFICIENT is immutable.,FALSE
E07,B01,B04,event_PE_identity_to_remnant_ringdown_audit,BLOCKED_SCHEMA,BLOCKED_SCHEMA,NOT_EVALUABLE_SCHEMA,11,0,FALSE,17,B04 historical HOLD_PRIMARY_SCHEMA_UNRESOLVED is immutable.,FALSE
E08,B05,B04,catalog_event_identity_to_remnant_ringdown_audit,BLOCKED_SCHEMA,BLOCKED_SCHEMA,NOT_EVALUABLE_SCHEMA,0,1,TRUE,18,B04 historical HOLD_PRIMARY_SCHEMA_UNRESOLVED is immutable.,FALSE
E09,B01,B07,event_PE_to_external_release_replication_surface,IDENTITY_ONLY,IDENTITY_ONLY,NO_REPLICATION_TEST_EXECUTED,0,0,TRUE,16,B07 closure forbids replication/nonreplication interpretation.,FALSE
E10,B05,B07,catalog_event_identity_to_external_release_replication_surface,IDENTITY_ONLY,IDENTITY_ONLY,NO_REPLICATION_TEST_EXECUTED,0,0,FALSE,17,B07 closure forbids replication/nonreplication interpretation.,FALSE
E11,B02,B08,population_model_to_standard_siren_cosmology,PARTIAL_STRUCTURAL,PARTIAL_STRUCTURAL,UNRESOLVED_ATTRIBUTION,0,1,TRUE,11,"Population modeling is methodologically upstream of cosmology, but B02 and B08 release/frame contracts are not identical.",FALSE
E12,B03,B08,selection_function_to_standard_siren_cosmology,BLOCKED_PUBLIC_ASSET,BLOCKED_PUBLIC_ASSET,NOT_EVALUABLE_PUBLIC_ASSET,0,1,FALSE,20,Selection-to-cosmology bridge inherits B03 public-asset block.,FALSE
E13,B05,B08,catalog_event_frame_to_standard_siren_cosmology,PARTIAL_STRUCTURAL,PARTIAL_STRUCTURAL,UNRESOLVED_ATTRIBUTION,0,0,TRUE,17,Catalog/detection frame is upstream of cosmology but exact release/frame transport is not established.,FALSE
E14,B01,B08,event_PE_lineage_to_standard_siren_cosmology,PARTIAL_STRUCTURAL,PARTIAL_STRUCTURAL,UNRESOLVED_ATTRIBUTION,0,0,TRUE,16,PE lineage is upstream of cosmology but exact B01→B08 release/PE transport is not established.,FALSE
E15,B06,B08,strain_DQ_calibration_upstream_to_cosmology_output,PARTIAL_STRUCTURAL,PARTIAL_STRUCTURAL,UNRESOLVED_ATTRIBUTION,0,3,FALSE,19,"Strain/DQ/calibration is upstream structurally, but no numerical transfer into B08 H0 was measured.",FALSE
E16,B07,B08,external_release_transport_to_cosmology_reproducibility,IDENTITY_ONLY,IDENTITY_ONLY,NO_REPLICATION_TEST_EXECUTED,0,3,TRUE,18,B07 provides release-transport/reproducibility boundary only; no replication metric exists.,FALSE
