queue_id,scope,pair_id,event_id,reason,blocking,allowed_next_action
P6R02-PAIR00018,config_structure_adjudication,PAIR00018,GW230601_224134,RUN02_CAPTURE_ONLY_CONFIG_EQUALITY_AND_NUMERIC_RESULT_NOT_EVALUATED,true,independent audit then separate Phase 6 / RUN03 reader decision
P6R02-PAIR00063,config_structure_adjudication,PAIR00063,GW230609_064958,RUN02_CAPTURE_ONLY_CONFIG_EQUALITY_AND_NUMERIC_RESULT_NOT_EVALUATED,true,independent audit then separate Phase 6 / RUN03 reader decision
P6R02-PAIR00106,config_structure_adjudication,PAIR00106,GW230628_231200,RUN02_CAPTURE_ONLY_CONFIG_EQUALITY_AND_NUMERIC_RESULT_NOT_EVALUATED,true,independent audit then separate Phase 6 / RUN03 reader decision
P6R02-PAIR00144,config_structure_adjudication,PAIR00144,GW230811_032116,RUN02_CAPTURE_ONLY_CONFIG_EQUALITY_AND_NUMERIC_RESULT_NOT_EVALUATED,true,independent audit then separate Phase 6 / RUN03 reader decision
P6R02-PAIR00187,config_structure_adjudication,PAIR00187,GW230814_061920,RUN02_CAPTURE_ONLY_CONFIG_EQUALITY_AND_NUMERIC_RESULT_NOT_EVALUATED,true,independent audit then separate Phase 6 / RUN03 reader decision
P6R02-PAIR00225,config_structure_adjudication,PAIR00225,GW230824_033047,RUN02_CAPTURE_ONLY_CONFIG_EQUALITY_AND_NUMERIC_RESULT_NOT_EVALUATED,true,independent audit then separate Phase 6 / RUN03 reader decision
P6R02-PAIR00270,config_structure_adjudication,PAIR00270,GW230914_111401,RUN02_CAPTURE_ONLY_CONFIG_EQUALITY_AND_NUMERIC_RESULT_NOT_EVALUATED,true,independent audit then separate Phase 6 / RUN03 reader decision
P6R02-PAIR00315,config_structure_adjudication,PAIR00315,GW230922_020344,RUN02_CAPTURE_ONLY_CONFIG_EQUALITY_AND_NUMERIC_RESULT_NOT_EVALUATED,true,independent audit then separate Phase 6 / RUN03 reader decision
P6R02-PAIR00360,config_structure_adjudication,PAIR00360,GW230922_040658,RUN02_CAPTURE_ONLY_CONFIG_EQUALITY_AND_NUMERIC_RESULT_NOT_EVALUATED,true,independent audit then separate Phase 6 / RUN03 reader decision
P6R02-PAIR00405,config_structure_adjudication,PAIR00405,GW230924_124453,RUN02_CAPTURE_ONLY_CONFIG_EQUALITY_AND_NUMERIC_RESULT_NOT_EVALUATED,true,independent audit then separate Phase 6 / RUN03 reader decision
P6R02-PAIR00450,config_structure_adjudication,PAIR00450,GW230927_043729,RUN02_CAPTURE_ONLY_CONFIG_EQUALITY_AND_NUMERIC_RESULT_NOT_EVALUATED,true,independent audit then separate Phase 6 / RUN03 reader decision
P6R02-PAIR00495,config_structure_adjudication,PAIR00495,GW230927_153832,RUN02_CAPTURE_ONLY_CONFIG_EQUALITY_AND_NUMERIC_RESULT_NOT_EVALUATED,true,independent audit then separate Phase 6 / RUN03 reader decision
P6R02-PAIR00540,config_structure_adjudication,PAIR00540,GW230928_215827,RUN02_CAPTURE_ONLY_CONFIG_EQUALITY_AND_NUMERIC_RESULT_NOT_EVALUATED,true,independent audit then separate Phase 6 / RUN03 reader decision
P6R02-PAIR00583,config_structure_adjudication,PAIR00583,GW231001_140220,RUN02_CAPTURE_ONLY_CONFIG_EQUALITY_AND_NUMERIC_RESULT_NOT_EVALUATED,true,independent audit then separate Phase 6 / RUN03 reader decision
P6R02-PAIR00621,config_structure_adjudication,PAIR00621,GW231028_153006,RUN02_CAPTURE_ONLY_CONFIG_EQUALITY_AND_NUMERIC_RESULT_NOT_EVALUATED,true,independent audit then separate Phase 6 / RUN03 reader decision
P6R02-PAIR00666,config_structure_adjudication,PAIR00666,GW231102_071736,RUN02_CAPTURE_ONLY_CONFIG_EQUALITY_AND_NUMERIC_RESULT_NOT_EVALUATED,true,independent audit then separate Phase 6 / RUN03 reader decision
P6R02-PAIR00711,config_structure_adjudication,PAIR00711,GW231108_125142,RUN02_CAPTURE_ONLY_CONFIG_EQUALITY_AND_NUMERIC_RESULT_NOT_EVALUATED,true,independent audit then separate Phase 6 / RUN03 reader decision
P6R02-PAIR00754,config_structure_adjudication,PAIR00754,GW231206_233134,RUN02_CAPTURE_ONLY_CONFIG_EQUALITY_AND_NUMERIC_RESULT_NOT_EVALUATED,true,independent audit then separate Phase 6 / RUN03 reader decision
P6R02-PAIR00792,config_structure_adjudication,PAIR00792,GW231206_233901,RUN02_CAPTURE_ONLY_CONFIG_EQUALITY_AND_NUMERIC_RESULT_NOT_EVALUATED,true,independent audit then separate Phase 6 / RUN03 reader decision
P6R02-PAIR00837,config_structure_adjudication,PAIR00837,GW231213_111417,RUN02_CAPTURE_ONLY_CONFIG_EQUALITY_AND_NUMERIC_RESULT_NOT_EVALUATED,true,independent audit then separate Phase 6 / RUN03 reader decision
P6R02-PAIR00880,config_structure_adjudication,PAIR00880,GW231223_032836,RUN02_CAPTURE_ONLY_CONFIG_EQUALITY_AND_NUMERIC_RESULT_NOT_EVALUATED,true,independent audit then separate Phase 6 / RUN03 reader decision
P6R02-PAIR00918,config_structure_adjudication,PAIR00918,GW231226_101520,RUN02_CAPTURE_ONLY_CONFIG_EQUALITY_AND_NUMERIC_RESULT_NOT_EVALUATED,true,independent audit then separate Phase 6 / RUN03 reader decision
