claim_id,type,statement
A01,ALLOWED,Catalog/significance status can be described as stable or sensitive to the audited release revision within the frozen public-data rules.
A02,ALLOWED,"Some candidate support is demonstrably multi-pipeline, single-pipeline, or unresolved in the public result surface."
A03,ALLOWED,GWOSC aggregate/surface representation can compress pipeline-level disagreement or best-pipeline identity.
A04,ALLOWED,Public evidence supports bounded consistent/composite attribution for some cases and leaves many causal attributions unresolved.
A05,ALLOWED,Downstream analyses that condition on a catalog cohort may structurally inherit release-version dependence.
F01,FORBIDDEN,Any pipeline is scientifically superior or yields the true candidate set.
F02,FORBIDDEN,Catalog-absent candidates are noise or catalog-present candidates are certainly astrophysical.
F03,FORBIDDEN,The audit quantifies the catalog false-negative rate without rerunning an independent search.
F04,FORBIDDEN,p_astro is a pipeline-independent objective probability.
F05,FORBIDDEN,Catalog-version differences imply mass/spin/population/formation/cosmology/GR conclusions.
F06,FORBIDDEN,This summary-only audit externally reproduces the LVK production search.
