path,role,authority,description
canonical/GWBHRRIDA_PHASE6_RUN02_v0.7.1_RESULTS_FOR_REVIEW.zip,CANONICAL,PRIMARY_RUN_EVIDENCE,Final bounded RUN02 result; recursively contains RUN01 and all predecessors to Phase 0.
final_state/FINAL_CLOSURE_ADJUDICATION.json,MASTER_DECISION,FINAL_CONTINUATION_AUTHORITY,Post-RUN02 independent closure adjudication; fixes HOLD and prohibits RUN03/Phase 7.
MASTER_STATUS.json,MASTER_STATUS,FINAL_BRANCH_STATUS,Machine-readable final branch state and claim boundary counters.
final_state/run02/PHASE6_RUN02_REPORT.json,CONVENIENCE_EXTRACT,EXACT_COPY_FROM_CANONICAL,RUN02 config-structure repair report.
final_state/run02/CONFIG_STRUCTURE_AUDIT.csv,CONVENIENCE_EXTRACT,EXACT_COPY_FROM_CANONICAL,44 endpoint config structures and support-key counts.
final_state/run02/RUN01_CORRECTION_LEDGER.csv,CORRECTION_LEDGER,SUPERSEDES_RUN01_EQUALITY_FIELDS,22 invalid RUN01 true values corrected to NOT_EVALUATED.
final_state/run01_historical/CONFIG_DIFFERENCE_AUDIT.csv,HISTORICAL_EVIDENCE,CORRECTED_BY_RUN02_LEDGER,Preserved erroneous equality fields; not valid for interpretive use.
frozen_contract/,FROZEN_CONTRACT,EXACT_COPIES,Twelve Phase 5/6 contract components whose aggregate SHA-256 is fixed.
provenance/NESTED_ARCHIVE_CHAIN.csv,PROVENANCE_INDEX,MASTER_GENERATED_FROM_CANONICAL,"Ten-level recursive result lineage with hashes, decisions, CRC, and manifest counts."
provenance/CLOSURE_EVIDENCE_MATRIX.csv,CLOSURE_INDEX,MASTER_ADJUDICATION_SUPPORT,Gate-by-gate evidence leading to final HOLD.
tools/verify_master.py,OFFLINE_VERIFIER,REPRODUCIBILITY_TOOL,"Network-free verifier for master manifest, canonical result, and recursive chain."
