id,scope,dimension,status,delta_median,width68_ratio,normalized_w1,central68_overlap,interpretation
C01,PHASE4_PRIMARY,PIPELINE,PASS,2.8955637120747326,1.0527714566660618,0.1621104503074619,0.9173705883433968,Same FullPop spectral LambdaCDM frame; pipeline output dependence.
C02,PHASE4_PRIMARY,ROUTE,PASS,-1.0820144508839604,0.949088158911582,0.07933426606681653,0.9714209227859119,Spectral vs DES Y6 luminosity-weighted dark-siren route within gwcosmo FullPop.
C03,PHASE4_PRIMARY,CATALOG,PASS,4.243120349586178,1.033706517219101,0.24528009999761163,0.8533677381152489,DES Y6 vs GLADE+ at FullPop/luminosity weighting.
C04,PHASE4_PRIMARY,WEIGHTING_DES,PASS,2.2421251034304674,0.9861521036971169,0.1462934934609896,0.9086149019968605,Luminosity vs uniform weighting within DES Y6 FullPop.
C05,PHASE4_PRIMARY,WEIGHTING_GLADE,PASS,-2.3680551249995574,1.0152928120456797,0.12754421170550276,0.9219626403064222,Luminosity vs uniform weighting within GLADE+ FullPop.
C06,PHASE4_PRIMARY,POPULATION_MODEL,PASS,4.059848283750185,0.9918839357903821,0.21730054498421658,0.8582516707137742,"FullPop vs BPL3P spectral, both 235-CBC frame per public README."
C07,PHASE4_PRIMARY,POPULATION_PLUS_FRAME_CONFOUNDED,PASS,-0.21449809334451686,1.3576037679330688,0.17617660077025754,1.0,FullPop 235-CBC vs MLTP 231-BBH; do not attribute difference purely to population model.
C08,PHASE4_PRIMARY,IFAR_ROBUSTNESS_SPECTRAL,PASS,-9.066239218011262,0.8394569302122481,0.558195633871285,0.6803638675943381,Published IFAR validation comparison; descriptive only.
C09,PHASE4_PRIMARY,IFAR_ROBUSTNESS_DARK_DES,PASS,-7.967736055397857,0.8853905631109827,0.5174424538039113,0.6885073585284045,Published IFAR validation comparison for DES/lum route; descriptive only.
C10,PHASE4_PRIMARY,FINAL_ROUTE_AFTER_BRIGHT_COMBINATION,PASS,-1.2284135943088188,0.8961691428415876,0.1291205795185742,0.9653504849920194,Official final spectral+GW170817 versus dark+GW170817 posterior products.
R17,PHASE5_SECONDARY,IFAR_ROBUSTNESS_DES_UNIFORM,PASS,-8.515215724169778,0.8959241654470934,0.5561500941520315,0.6526218462273855,Published secondary IFAR validation for FullPop DES-uniform; descriptive only.
